0294910171630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295010180100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295110180300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295210181000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295310181630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295410190100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295510190300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295610191000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295710191630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295810200100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0295910200300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296010201000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296110201630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296210210100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296310210300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296410211000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296510211630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296610220100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296710220300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296810221000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0296910221630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297010230524UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297110230525UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297210231000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297310231630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297410240100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297510240300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297610241000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297710241630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297810250100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0297910250300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0298010251000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0298110251630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0298210260100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0298310260300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
